id,lactnum,dinmilk,datehosp,teat,trtflag,cultflag,mastflag,culttype,datehosp2,trtremast
46281,1,,2021-04-06,,1,1,1,GN,,
46292,1,167,2021-04-26,RF,0,0,0,NG,,
46416,1,318,2021-05-28,LR,0,0,0,NG,,
46497,1,148,2021-04-20,RECULTUR,0,0,0,NG,,
46517,1,211,2021-04-20,LR,1,1,1,GN,,
46544,1,279,2021-04-24,LF,1,1,1,GN,,
46648,1,313,2021-05-31,LR,0,0,0,NG,,
46917,1,220,2021-05-10,LR,0,0,0,NG,,
47188,1,260,2021-06-10,LR,1,1,1,GP,2021-06-14,SPECT5LR
47421,1,149,2021-04-09,RF,1,1,1,GP,,
47554,1,140,2021-05-10,LR,1,1,1,GN,,
47735,1,164,2021-07-02,RR,0,0,0,NG,,
47756,1,161,2021-04-20,RF,0,0,0,NG,,
47967,1,191,2021-05-26,LR,1,1,1,GN,2021-05-29,SPECT5LR
48021,1,110,2021-07-05,LF,1,1,1,GN,,
48126,1,42,2021-04-29,RR,1,1,1,MX,2021-04-07,SPECT5RR
48369,1,132,2021-06-02,RR,1,0,1,NG,,
48377,1,48,2021-06-10,LR,1,1,1,GP,,
48409,1,112,2021-05-21,RR,0,0,0,NG,,
48417,1,144,2021-06-03,RR,1,1,1,GP,2021-06-07,SPECT5RR
48417,1,144,2021-06-03,RR,1,1,1,GP,2021-06-17,SPECT5RR
48417,1,155,2021-06-14,RECULTUR,1,1,1,GP,2021-06-07,SPECT5RR
48417,1,155,2021-06-14,RECULTUR,1,1,1,GP,2021-06-17,SPECT5RR
48432,1,37,2021-04-19,RF,0,0,0,NG,,
48474,1,98,2021-04-27,LF,1,1,1,MX,2021-04-30,SPECT5LF
48474,1,98,2021-04-27,LF,1,1,1,MX,2021-05-12,SPECT5LF
48474,1,168,2021-07-06,LF,1,1,1,GP,2021-04-30,SPECT5LF
48474,1,168,2021-07-06,LF,1,1,1,GP,2021-05-12,SPECT5LF
48482,1,76,2021-05-17,RR,1,1,1,GP,,
48564,1,112,2021-06-08,LR,1,1,1,GP,2021-06-11,SPECT5LR
48566,1,21,2021-04-12,LF,1,1,1,GP,,
48569,1,47,2021-06-23,LF,0,0,0,NG,,
48606,1,105,2021-06-14,LF,0,0,0,NG,,
48709,1,45,2021-04-29,RF,0,0,0,NG,,
48851,1,38,2021-04-28,RR,0,0,0,NG,,
48997,1,70,2021-06-23,RR,1,1,1,GP,,
48998,1,2,2021-06-09,LR,0,0,0,NG,,
49047,1,43,2021-06-08,RR,0,0,0,NG,,
49047,1,,2021-06-20,,0,0,0,NG,,
49115,1,66,2021-06-28,LR,0,0,0,NG,,
49201,1,23,2021-06-06,LR,0,0,0,NG,,
49402,1,3,2021-06-09,LR,1,1,1,GN,,
49611,1,19,2021-07-02,LR,0,0,0,NG,,
