"ID","LACT","FDAT","DIM","Date","HOSPM","Quarter","Dateok","MAST","Trt_MAST","Trt_dec","TRT","CULTURE","CULT_res","CULT_type","REMAST","Trt_REMAST"
36843,4,10/20/2020,142,03/11/2021,HOSPM,RR,03/11/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
36852,4,10/08/2020,170,03/27/2021,HOSPM,LR,03/27/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GNLR,GN,,
36875,4,08/17/2020,170,02/03/2021,HOSPM,RR,02/03/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
36875,4,08/17/2020,,,,,02/12/2021,,,,,,,,REMAST,SPECT5RR
36915,4,09/21/2020,109,01/08/2021,HOSPM,RF,01/08/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
36916,4,08/12/2020,154,01/13/2021,HOSPM,BLOOD,01/13/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
37018,4,01/23/2021,51,03/15/2021,HOSPM,LR,03/15/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
37091,4,12/18/2020,18,01/05/2021,HOSPM,RF,01/05/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
37091,4,12/18/2020,,,,,01/08/2021,,,,,,,,REMAST,SPECT5RF
37091,4,12/18/2020,69,02/25/2021,HOSPM,RF,02/25/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
37091,4,12/18/2020,,,,,02/28/2021,,,,,,,,REMAST,SPECT5RF
37094,4,06/24/2020,217,01/27/2021,HOSPM,LF,01/27/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
37172,4,05/20/2020,246,01/21/2021,HOSPM,LR,01/21/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
37172,4,05/20/2020,,,,,01/24/2021,,,,,,,,REMAST,SPECT5LR
37184,4,09/16/2020,178,03/13/2021,HOSPM,RF,03/13/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
37187,4,08/18/2020,155,01/20/2021,HOSPM,RF,01/20/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
37187,4,08/18/2020,182,02/16/2021,HOSPM,RF,02/16/2021,,,,,CULTURE,GPRF,GP,,
37187,4,08/18/2020,,,,,02/17/2021,MAST,SPCT3RF,SPCT3,1,,,,,
37187,4,08/18/2020,196,03/02/2021,HOSPM,RF,03/02/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
37187,4,08/18/2020,231,04/06/2021,HOSPM,LR,04/06/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
37216,4,08/02/2020,200,02/18/2021,HOSPM,LR,02/18/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLR,NG,,
37216,4,08/02/2020,223,03/13/2021,HOSPM,RR,03/13/2021,MAST,NOTXTORR,NOTXT,0,CULTURE,NGRR,NG,,
37221,4,07/10/2020,255,03/22/2021,HOSPM,RR,03/22/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRR,NG,,
37320,4,09/01/2020,138,01/17/2021,HOSPM,LF,01/17/2021,,,,,CULTURE,GPLF,GP,,
37320,4,09/01/2020,,,,,01/18/2021,MAST,SPCT3LF,SPCT3,1,,,,,
37320,4,09/01/2020,144,01/23/2021,HOSPM,RF,01/23/2021,,,,,CULTURE,NGRF,NG,,
37322,4,11/23/2020,100,03/03/2021,HOSPM,RF,03/03/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GNRF,GN,,
37322,4,11/23/2020,,,,,03/04/2021,,,,,CULTURE,MXRF,MX,,
37322,4,11/23/2020,,,,,03/06/2021,,,,,,,,REMAST,SPECT5RF
37350,4,09/25/2020,144,02/16/2021,HOSPM,LF,02/16/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
37350,4,09/25/2020,,,,,02/19/2021,,,,,,,,REMAST,SPECT5LF
37376,4,07/31/2020,162,01/09/2021,HOSPM,LF,01/09/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
37376,4,07/31/2020,191,02/07/2021,HOSPM,LF,02/07/2021,,,,,CULTURE,GPLF,GP,,
37403,4,08/20/2020,147,01/14/2021,HOSPM,RR,01/14/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
37403,4,08/20/2020,157,01/24/2021,HOSPM,RR,01/24/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
37403,4,08/20/2020,,,,,01/27/2021,,,,,,,,REMAST,SPECT5RR
37403,4,08/20/2020,194,03/02/2021,HOSPM,RR,03/02/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRR,NG,,
37412,3,02/27/2020,360,02/21/2021,HOSPM,LF,02/21/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
37417,4,09/21/2020,127,01/26/2021,HOSPM,LF,01/26/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF.,GP,,
37429,4,09/29/2020,135,02/11/2021,HOSPM,RR,02/11/2021,MAST,NOTXTORR,NOTXT,0,CULTURE,NGRR,NG,,
37432,4,12/26/2020,21,01/16/2021,HOSPM,LF,01/16/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
37527,4,10/06/2020,120,02/03/2021,HOSPM,LF,02/03/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLF,NG,,
37634,4,03/04/2021,15,03/19/2021,HOSPM,LF,03/19/2021,MAST,NOTXTORF,NOTXT,0,CULTURE,NGRF,NG,,
37647,4,09/24/2020,106,01/08/2021,HOSPM,LF,01/08/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
37647,4,09/24/2020,,,,,01/11/2021,,,,,,,,REMAST,SPECT5LF
37647,4,09/24/2020,191,04/03/2021,HOSPM,LF,04/03/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
37648,4,12/18/2020,78,03/06/2021,HOSPM,RF,03/06/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GNRF,GN,,
37648,4,12/18/2020,,,,,03/09/2021,,,,,,,,REMAST,SPECT5RF
37648,4,12/18/2020,99,03/27/2021,HOSPM,LR,03/27/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
37693,4,07/27/2020,180,01/23/2021,HOSPM,LF,01/23/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
37693,4,07/27/2020,219,03/03/2021,HOSPM,LF,03/03/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
37696,4,01/24/2021,30,02/23/2021,HOSPM,LF,02/23/2021,,,,,CULTURE,NGLF,NG,,
37696,4,01/24/2021,59,03/24/2021,HOSPM,RR,03/24/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GNRR,GN,,
37711,4,02/23/2021,42,04/06/2021,HOSPM,LR,04/06/2021,,,,,CULTURE,GPLR,GP,,
37758,4,10/22/2020,91,01/21/2021,HOSPM,LR,01/21/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
37758,4,10/22/2020,,,,,01/24/2021,,,,,,,,REMAST,SPECT5LR
37769,4,12/23/2020,90,03/23/2021,HOSPM,RF,03/23/2021,MAST,NOTXTORF,NOTXT,0,CULTURE,NGRF,NG,,
37818,4,09/26/2020,157,03/02/2021,HOSPM,LF,03/02/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
37818,4,09/26/2020,,,,,03/05/2021,,,,,,,,REMAST,SPECT5LF
37846,4,08/19/2020,181,02/16/2021,HOSPM,LR,02/16/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
37846,4,08/19/2020,,,,,03/10/2021,MAST,SPECT3LR,SPECT,1,,,,,
37925,4,01/30/2021,21,02/20/2021,HOSPM,LR,02/20/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
37941,3,04/03/2020,362,03/31/2021,HOSPM,LR,03/31/2021,,,,,CULTURE,NGLR,NG,,
37969,3,02/16/2020,372,02/22/2021,HOSPM,LF,02/22/2021,,,,,CULTURE,MXLF,MX,,
37976,4,12/27/2020,87,03/24/2021,HOSPM,BLOOD,03/24/2021,,,,,,,,,
38000,4,08/17/2020,162,01/26/2021,HOSPM,RF,01/26/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
38000,4,08/17/2020,191,02/24/2021,HOSPM,RF,02/24/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
38000,4,08/17/2020,,,,,03/21/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
38000,4,08/17/2020,217,03/22/2021,HOSPM,RF,03/22/2021,,,,,,,,,
38008,4,08/12/2020,182,02/10/2021,HOSPM,RR,02/10/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
38067,4,11/22/2020,115,03/17/2021,HOSPM,RR,03/17/2021,,,,,,,,,
38073,4,07/06/2020,220,02/11/2021,HOSPM,RR,02/11/2021,MAST,NOTXTORR,NOTXT,0,CULTURE,NGRR,NG,,
38073,4,07/06/2020,244,03/07/2021,HOSPM,LR,03/07/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLR,NG,,
38073,4,07/06/2020,269,04/01/2021,HOSPM,LR,04/01/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GNLR,GN,,
38081,4,08/24/2020,134,01/05/2021,HOSPM,RF,01/05/2021,,,,,CULTURE,NGRF,NG,,
38081,4,08/24/2020,136,01/07/2021,HOSPM,RF,01/07/2021,,,,,CULTURE,NGRF,NG,,
38086,3,09/10/2020,138,01/26/2021,HOSPM,RR,01/26/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
38086,3,09/10/2020,158,02/15/2021,HOSPM,LR,02/15/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
38086,3,09/10/2020,,,,,02/18/2021,,,,,,,,REMAST,SPECT5LF
38092,4,11/18/2020,94,02/20/2021,HOSPM,LF,02/20/2021,,,,,CULTURE,MXLF,MX,,
38156,4,09/26/2020,160,03/05/2021,HOSPM,LF,03/05/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,MXLF,MX,,
38203,4,08/16/2020,223,03/27/2021,HOSPM,LF,03/27/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
38215,4,02/13/2021,,,,,03/08/2021,,,,,CULTURE,GPRR,GP,,
38215,4,02/13/2021,24,03/09/2021,HOSPM,RR,03/09/2021,MAST,SPCT3RR,SPCT3,1,,,,,
38215,4,02/13/2021,,,,,03/12/2021,,,,,,,,REMAST,SPECT5RR
38215,4,02/13/2021,38,03/23/2021,HOSPM,RR,03/23/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
38215,4,02/13/2021,,,,,03/26/2021,,,,,,,,REMAST,SPECT5RR
38215,4,02/13/2021,47,04/01/2021,HOSPM,RR,04/01/2021,,,,,CULTURE,NGRR,NG,,
38223,4,08/25/2020,162,02/03/2021,HOSPM,LR,02/03/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLR,NG,,
38223,4,08/25/2020,186,02/27/2021,HOSPM,RF,02/27/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
38223,4,08/25/2020,,,,,03/02/2021,,,,,,,,REMAST,SPECT5RF
